Order_ID,Date,Product,Category,City,Quantity,Unit_Price,Revenue,Customer_ID
ORD0001,2025-04-17,Desk,Furniture,Rawalpindi,4,239.83,959.32,CUST0021
ORD0002,2025-11-27,Desk,Furniture,Lahore,2,204.86,409.72,CUST0088
ORD0003,2025-05-11,Mouse,Accessories,Abbottabad,4,23.21,92.84,CUST0258
ORD0004,2025-07-11,Backpack,Bags,Karachi,4,59.82,239.28,CUST0277
ORD0005,2025-09-10,Laptop,Electronics,Karachi,4,868.98,3475.92,CUST0049
ORD0006,2025-09-28,Notebook,Stationery,,4,8.76,35.04,CUST0175
ORD0007,2025-11-16,Headphones,Electronics,Peshawar,4,80.23,320.92,CUST0131
ORD0008,2025-11-25,Mouse,Accessories,Islamabad,3,25.9,77.7,CUST0089
ORD0009,2025-02-22,Smartphone,Electronics,Islamabad,2,528.51,1057.02,CUST0092
ORD0010,2025-02-04,Desk,Furniture,Abbottabad,4,219.79,879.16,CUST0081
ORD0011,2025-01-02,Keyboard,Accessories,Abbottabad,2,46.46,92.92,CUST0054
ORD0012,2025-07-10,Notebook,Stationery,Islamabad,4,7.5,30.0,CUST0218
ORD0013,2025-09-27,Smartphone,Electronics,Abbottabad,2,593.43,1186.86,CUST0215
ORD0014,2025-07-27,Water Bottle,Lifestyle,Rawalpindi,6,19.3,115.8,CUST0053
ORD0015,2025-07-07,Backpack,Bags,Karachi,2,60.12,120.24,CUST0041
ORD0016,2025-12-10,Laptop,Electronics,Peshawar,1,932.77,932.77,CUST0136
ORD0017,2025-03-22,Backpack,Bags,Lahore,7,58.47,409.29,CUST0289
ORD0018,2025-02-10,Mouse,Accessories,Karachi,2,24.29,48.58,CUST0135
ORD0019,2025-02-17,Water Bottle,Lifestyle,Abbottabad,4,19.32,77.28,CUST0216
ORD0020,2025-08-02,Mouse,Accessories,Lahore,3,25.46,76.38,CUST0035
ORD0021,2025-05-11,Laptop,Electronics,Peshawar,3,785.33,2355.99,CUST0005
ORD0022,2025-12-25,Notebook,Stationery,Lahore,7,8.43,59.01,CUST0207
